Time,Temp(F),Humidity(%),WindSpeed(mph)
8/28/13 1:00,60.1,86,16.1
8/28/13 2:00,60.1,86,11.5
8/28/13 3:00,60.1,86,8.1
8/28/13 4:00,60.1,86,10.4
8/28/13 5:00,60.1,86,8.1
8/28/13 6:00,60.1,83,5.8
8/28/13 7:00,59,87,5.8
8/28/13 8:00,61,83,0
8/28/13 9:00,62.6,77,3.5
8/28/13 9:00,62.1,80,4.6
8/28/13 10:00,64,78,6.9
8/28/13 11:00,66,75,12.7
8/28/13 11:00,68,68,10.4
8/28/13 12:00,69.1,70,12.7
8/28/13 13:00,73,61,15
8/28/13 14:00,73,64,15
8/28/13 15:00,73,61,21.9
8/28/13 16:00,71.1,66,20.7
8/28/13 17:00,69.1,70,21.9
8/28/13 18:00,68,76,24.2
8/28/13 18:00,66.2,78,23
8/28/13 19:00,64.4,83,23
8/28/13 19:00,64,84,24.2
8/28/13 20:00,64,84,26.5
8/28/13 21:00,63,87,13.8
8/28/13 22:00,63,87,13.8
8/28/13 23:00,62.1,90,12.7
8/29/13 0:00,62.1,86,10.4
8/29/13 0:00,62.6,82,10.4
8/29/13 1:00,62.1,84,8.1
8/29/13 1:00,60.8,88,5.8
8/29/13 2:00,61,90,4.6
8/29/13 3:00,62.1,84,5.8
8/29/13 4:00,62.1,84,4.6
8/29/13 5:00,61,87,0
8/29/13 6:00,62.1,80,0
8/29/13 7:00,62.1,84,0
8/29/13 7:00,62.6,82,0
8/29/13 8:00,63,84,0
8/29/13 9:00,64.9,81,3.5
8/29/13 10:00,66.9,76,6.9
8/29/13 11:00,69.1,70,8.1
8/29/13 12:00,72,64,12.7
8/29/13 13:00,71.1,66,16.1
8/29/13 14:00,73,59,17.3
8/29/13 15:00,73,59,18.4
8/29/13 16:00,73,61,20.7
8/29/13 17:00,71.1,63,20.7
8/29/13 18:00,68,70,16.1
8/29/13 19:00,66.9,73,20.7
8/29/13 20:00,64.9,81,17.3
8/29/13 21:00,64.9,81,20.7
8/29/13 22:00,64.4,88,17.3
8/29/13 22:00,64,87,16.1
8/29/13 23:00,63,90,13.8
8/30/13 0:00,63,87,13.8
8/30/13 1:00,62.1,86,10.4
8/30/13 1:00,60.8,88,11.5
8/30/13 2:00,61,90,10.4
8/30/13 3:00,61,90,9.2
8/30/13 4:00,61,90,13.8
8/30/13 5:00,61,90,11.5
8/30/13 5:00,60.8,88,12.7
8/30/13 6:00,60.1,93,12.7
8/30/13 7:00,60.1,90,9.2
8/30/13 8:00,61,90,8.1
8/30/13 9:00,62.1,86,0
8/30/13 10:00,66.9,76,0
8/30/13 11:00,68,76,4.6
8/30/13 12:00,72,68,4.6
8/30/13 13:00,77,52,17.3
8/30/13 14:00,75.9,54,20.7
8/30/13 15:00,75.9,54,24.2
8/30/13 16:00,73.9,57,26.5
8/30/13 17:00,73,59,26.5
8/30/13 18:00,70,63,27.6
8/30/13 19:00,66.9,70,23
8/30/13 20:00,64,78,15
8/30/13 21:00,64,75,11.5
8/30/13 22:00,63,78,9.2
8/30/13 23:00,62.1,80,10.4
8/31/13 0:00,62.1,80,12.7
8/31/13 1:00,61,83,13.8
8/31/13 2:00,60.8,82,11.5
8/31/13 2:00,60.1,83,12.7
8/31/13 3:00,59,87,10.4
8/31/13 4:00,57.9,90,13.8
8/31/13 5:00,57,89,18.4
8/31/13 6:00,57.2,94,12.7
8/31/13 6:00,57,93,18.4
8/31/13 6:00,57.2,94,15
8/31/13 7:00,57.9,90,12.7
8/31/13 7:00,57.2,94,11.5
8/31/13 8:00,59,90,10.4
8/31/13 9:00,61,83,10.4
8/31/13 9:00,62.6,77,12.7
8/31/13 10:00,64,75,15
8/31/13 11:00,66,70,16.1
8/31/13 12:00,68,65,12.7
8/31/13 13:00,69.1,63,18.4
8/31/13 14:00,71.1,59,23
8/31/13 15:00,70,63,24.2
8/31/13 16:00,69.1,65,21.9
8/31/13 17:00,68,68,17.3
8/31/13 18:00,66,70,17.3
8/31/13 19:00,64,75,12.7
8/31/13 20:00,61,81,10.4
8/31/13 21:00,60.1,83,8.1
8/31/13 22:00,60.1,83,11.5
8/31/13 23:00,60.1,83,12.7
9/1/13 0:00,60.8,82,11.5
9/1/13 0:00,60.1,83,13.8
9/1/13 1:00,60.1,83,12.7
9/1/13 1:00,60.8,82,12.7
9/1/13 2:00,60.1,80,10.4
9/1/13 3:00,59,83,6.9
9/1/13 4:00,59,83,9.2
9/1/13 5:00,59,83,6.9
9/1/13 6:00,59,83,6.9
9/1/13 7:00,59,83,3.5
9/1/13 8:00,60.1,80,10.4
9/1/13 9:00,63,75,12.7
9/1/13 10:00,66,68,10.4
9/1/13 11:00,69.1,63,9.2
9/1/13 12:00,71.1,55,11.5
9/1/13 13:00,71.1,57,17.3
9/1/13 14:00,72,53,16.1
9/1/13 15:00,73,49,19.6
9/1/13 16:00,68,65,21.9
9/1/13 17:00,68,70,24.2
9/1/13 18:00,66.9,76,20.7
9/1/13 19:00,64.9,81,21.9
9/1/13 20:00,64.9,81,18.4
9/1/13 21:00,64.9,81,16.1
9/1/13 22:00,64.9,81,9.2
9/1/13 23:00,64.9,84,8.1
9/2/13 0:00,64.9,84,5.8
9/2/13 1:00,64.9,84,8.1
9/2/13 2:00,64,87,11.5
9/2/13 2:00,62.6,94,10.4
9/2/13 3:00,63,90,8.1
9/2/13 4:00,64,87,6.9
9/2/13 5:00,64.9,84,12.7
9/2/13 6:00,64.9,84,4.6
9/2/13 7:00,64.9,84,6.9
9/2/13 8:00,66,81,8.1
9/2/13 9:00,66,81,6.9
9/2/13 10:00,66.9,79,12.7
9/2/13 11:00,68,73,9.2
9/2/13 11:00,69.8,68,10.4
9/2/13 12:00,72,64,13.8
9/2/13 13:00,73.9,59,16.1
9/2/13 14:00,72,64,16.1
9/2/13 15:00,72,64,18.4
9/2/13 16:00,73,61,19.6
9/2/13 17:00,71.1,66,23
9/2/13 18:00,70,68,19.6
9/2/13 19:00,68,76,18.4
9/2/13 20:00,66.2,83,17.3
9/2/13 20:00,66,81,15
9/2/13 20:00,64.4,88,13.8
9/2/13 21:00,64,87,11.5
9/2/13 22:00,63,87,9.2
9/2/13 23:00,62.1,90,8.1
9/3/13 0:00,62.6,88,6.9
9/3/13 0:00,63,84,6.9
9/3/13 1:00,62.1,84,8.1
9/3/13 2:00,62.1,80,10.4
9/3/13 3:00,62.1,80,6.9
9/3/13 4:00,61,83,10.4
9/3/13 5:00,61,83,13.8
9/3/13 6:00,61,83,9.2
9/3/13 7:00,60.1,83,9.2
9/3/13 8:00,62.1,78,9.2
9/3/13 9:00,64,75,9.2
9/3/13 10:00,66.9,63,13.8
9/3/13 11:00,71.1,51,13.8
9/3/13 12:00,73,46,15
9/3/13 13:00,73,51,16.1
9/3/13 14:00,73,55,21.9
9/3/13 15:00,72,57,19.6
9/3/13 16:00,72,57,23
9/3/13 17:00,71.1,61,23
9/3/13 18:00,69.1,63,18.4
9/3/13 19:00,66.2,73,19.6
9/3/13 19:00,66,75,19.6
9/3/13 20:00,64.9,81,16.1
9/3/13 21:00,64.4,83,17.3
9/3/13 21:00,64.9,81,17.3
9/3/13 22:00,64,80,15
9/3/13 23:00,64,78,21.9
9/4/13 0:00,63,81,15
9/4/13 1:00,63,81,8.1
9/4/13 2:00,63,78,12.7
9/4/13 3:00,62.1,84,16.1
9/4/13 4:00,62.1,84,16.1
9/4/13 4:00,62.6,82,16.1
9/4/13 5:00,62.1,84,17.3
9/4/13 6:00,61,87,15
9/4/13 7:00,62.1,84,19.6
9/4/13 8:00,63,81,16.1
9/4/13 9:00,62.6,82,18.4
9/4/13 9:00,64,78,17.3
9/4/13 10:00,66,75,13.8
9/4/13 11:00,66.9,70,12.7
9/4/13 11:00,68,68,13.8
9/4/13 12:00,70,61,16.1
9/4/13 13:00,71.1,61,17.3
9/4/13 14:00,73,55,21.9
9/4/13 15:00,72,59,25.3
9/4/13 16:00,71.1,63,19.6
9/4/13 17:00,70,65,21.9
9/4/13 17:00,69.8,64,20.7
9/4/13 18:00,68,70,24.2
9/4/13 19:00,66,75,21.9
9/4/13 19:00,64.4,83,20.7
9/4/13 20:00,64,80,20.7
9/4/13 21:00,64,80,17.3
9/4/13 22:00,64,78,16.1
9/4/13 23:00,63,81,21.9
9/5/13 0:00,62.1,84,26.5
9/5/13 0:00,62.6,82,25.3
9/5/13 1:00,62.1,84,26.5
9/5/13 1:00,62.6,82,27.6
9/5/13 2:00,62.1,84,28.8
9/5/13 3:00,62.1,84,23
9/5/13 4:00,61,83,17.3
9/5/13 5:00,61,87,19.6
9/5/13 6:00,61,87,17.3
9/5/13 7:00,61,83,15
9/5/13 8:00,61,83,21.9
9/5/13 9:00,63,78,21.9
9/5/13 10:00,66,68,23
9/5/13 11:00,66.9,66,19.6
9/5/13 12:00,70,57,18.4
9/5/13 13:00,70,59,17.3
9/5/13 14:00,72,55,26.5
9/5/13 15:00,70,61,27.6
9/5/13 16:00,70,59,25.3
9/5/13 17:00,69.1,63,20.7
9/5/13 18:00,66.9,68,23
9/5/13 19:00,64.9,73,23
9/5/13 20:00,64,73,27.6
9/5/13 21:00,63,75,19.6
9/5/13 22:00,62.1,78,18.4
9/5/13 23:00,61,81,20.7
9/6/13 0:00,61,81,12.7
9/6/13 1:00,61,54.0 å¡F,0
9/6/13 2:00,60.1,54.0 å¡F,0
9/6/13 3:00,59,53.1 å¡F,0
9/6/13 4:00,57.9,52.0 å¡F,0
9/6/13 5:00,57.9,53.1 å¡F,0
9/6/13 6:00,57,52.0 å¡F,0
9/6/13 7:00,57,52.0 å¡F,0
9/6/13 8:00,60.1,53.1 å¡F,0
9/6/13 9:00,64,55.0 å¡F,0
9/6/13 10:00,68,57.0 å¡F,0
9/6/13 11:00,71.1,54.0 å¡F,0
9/6/13 12:00,75,53.1 å¡F,0
9/6/13 13:00,79,52.0 å¡F,0
9/6/13 14:00,82,55.0 å¡F,0
9/6/13 15:00,84,50.0 å¡F,0
9/6/13 16:00,84,48.0 å¡F,0
9/6/13 17:00,82,48.0 å¡F,0
9/6/13 18:00,80.1,48.0 å¡F,0
9/6/13 19:00,77,45.0 å¡F,0
9/6/13 20:00,75,45.0 å¡F,0
9/6/13 21:00,73,46.9 å¡F,0
9/6/13 22:00,72,46.9 å¡F,0
9/6/13 23:00,71.1,48.9 å¡F,0
9/7/13 0:00,70,46.9 å¡F,0
9/7/13 1:00,69.1,46.9 å¡F,0
9/7/13 2:00,66.9,53.1 å¡F,0
9/7/13 3:00,64.9,48.0 å¡F,0
9/7/13 4:00,64,48.0 å¡F,0
9/7/13 5:00,63,46.0 å¡F,0
9/7/13 6:00,63,48.0 å¡F,0
9/7/13 7:00,64,48.0 å¡F,0
9/7/13 8:00,66.9,53.1 å¡F,0
9/7/13 9:00,70,57.9 å¡F,0
9/7/13 10:00,72,60.1 å¡F,0
9/7/13 11:00,73,60.1 å¡F,0
9/7/13 12:00,73.9,62.1 å¡F,0
9/7/13 13:00,75.9,64.0 å¡F,0
9/7/13 14:00,88,54.0 å¡F,0
9/7/13 14:00,87.8,55.4 å¡F,0
9/7/13 15:00,86,54.0 å¡F,0
9/7/13 16:00,80.6,53.6 å¡F,0
9/7/13 17:00,75.9,54.0 å¡F,0
9/7/13 18:00,73.9,53.1 å¡F,0
9/7/13 19:00,68,54.0 å¡F,0
9/7/13 20:00,62.1,54.0 å¡F,0
9/7/13 21:00,60.1,55.0 å¡F,0
9/7/13 22:00,60.1,54.0 å¡F,0
9/7/13 23:00,57.9,54.0 å¡F,0
9/8/13 0:00,57.9,54.0 å¡F,0
9/8/13 1:00,57.9,87,10.4
9/8/13 2:00,57.9,87,8.1
9/8/13 3:00,57,89,10.4
9/8/13 4:00,57,87,9.2
9/8/13 5:00,57,87,8.1
9/8/13 6:00,57,87,5.8
9/8/13 7:00,55.4,94,5.8
9/8/13 7:00,57,87,5.8
9/8/13 8:00,57.9,87,6.9
9/8/13 9:00,61,81,6.9
9/8/13 10:00,64.9,73,3.5
9/8/13 11:00,66.9,70,4.6
9/8/13 12:00,69.1,68,5.8
9/8/13 13:00,73.9,53,11.5
9/8/13 14:00,73,55,12.7
9/8/13 15:00,71.1,59,20.7
9/8/13 16:00,71.6,57,17.3
9/8/13 17:00,69.8,60,18.4
9/8/13 18:00,62.6,72,23
9/8/13 19:00,62.6,72,18.4
9/8/13 20:00,59,81,16.1
9/8/13 21:00,59,81,15
9/8/13 22:00,57.2,88,10.4
9/8/13 23:00,57.2,82,11.5
9/9/13 0:00,57.2,88,10.4
9/9/13 1:00,57.2,88,9.2
9/9/13 2:00,57.2,88,6.9
9/9/13 3:00,57.2,88,10.4
9/9/13 4:00,57,87,10.4
9/9/13 5:00,55.4,88,6.9
9/9/13 6:00,55.4,88,9.2
9/9/13 7:00,55.9,87,9.2
9/9/13 8:00,57,89,8.1
9/9/13 9:00,61,78,5.8
9/9/13 10:00,64.9,70,3.5
9/9/13 11:00,66.9,68,4.6
9/9/13 12:00,71.1,63,5.8
9/9/13 13:00,71.1,57,15
9/9/13 14:00,75.9,48,12.7
9/9/13 15:00,72,55,20.7
9/9/13 16:00,68,65,20.7
9/9/13 17:00,69.1,63,20.7
9/9/13 18:00,64.9,75,18.4
9/9/13 19:00,63,81,18.4
9/9/13 20:00,62.1,86,15
9/9/13 21:00,61,87,15
9/9/13 22:00,61,87,11.5
9/9/13 23:00,60.1,90,9.2
9/10/13 0:00,60.1,90,9.2
9/10/13 1:00,59,90,5.8
9/10/13 2:00,59,87,8.1
9/10/13 3:00,57.9,90,8.1
9/10/13 4:00,57.9,87,8.1
9/10/13 5:00,57.9,87,5.8
9/10/13 6:00,57.9,87,5.8
9/10/13 7:00,57.9,87,3.5
9/10/13 8:00,61,83,0
9/10/13 9:00,63,75,0
9/10/13 10:00,66,70,0
9/10/13 11:00,69.1,63,4.6
9/10/13 12:00,70,68,5.8
9/10/13 13:00,71.1,66,5.8
9/10/13 14:00,73,53,6.9
9/10/13 15:00,73,53,15
9/10/13 16:00,72,55,16.1
9/10/13 17:00,72,57,9.2
9/10/13 18:00,70,61,11.5
9/10/13 19:00,66.9,68,10.4
9/10/13 20:00,64.9,70,9.2
9/10/13 21:00,64.9,73,9.2
9/10/13 22:00,64,75,12.7
9/10/13 23:00,64,75,13.8
9/11/13 0:00,63,75,9.2
9/11/13 1:00,62.1,78,4.6
9/11/13 2:00,63,75,4.6
9/11/13 3:00,62.1,78,4.6
9/11/13 4:00,62.1,75,4.6
9/11/13 5:00,63,75,6.9
9/11/13 6:00,63,75,5.8
9/11/13 7:00,64,73,6.9
9/11/13 8:00,64,73,5.8
9/11/13 9:00,66,68,6.9
9/11/13 10:00,68,63,9.2
9/11/13 11:00,68,61,6.9
9/11/13 12:00,71.1,57,5.8
9/11/13 12:00,71.6,57,3.5
9/11/13 13:00,72,55,5.8
9/11/13 14:00,72,55,15
9/11/13 15:00,72,55,15
9/11/13 16:00,72,55,16.1
9/11/13 17:00,70,59,12.7
9/11/13 18:00,69.1,61,15
9/11/13 19:00,66.9,68,11.5
9/11/13 20:00,66,70,10.4
9/11/13 21:00,66.2,68,8.1
9/11/13 21:00,66,70,6.9
9/11/13 22:00,64.9,73,9.2
9/11/13 23:00,64.9,75,8.1
9/12/13 0:00,64,78,6.9
9/12/13 1:00,64.9,75,5.8
9/12/13 2:00,64,78,6.9
9/12/13 2:00,64.4,77,6.9
9/12/13 3:00,64,78,3.5
9/12/13 4:00,63,84,3.5
9/12/13 4:00,62.6,82,0
9/12/13 5:00,63,84,4.6
9/12/13 6:00,63,84,6.9
9/12/13 7:00,63,81,4.6
9/12/13 8:00,63,81,3.5
9/12/13 9:00,64,78,5.8
9/12/13 10:00,64.4,77,8.1
9/12/13 10:00,64,78,8.1
9/12/13 10:00,64.4,77,8.1
9/12/13 11:00,64.9,75,10.4
9/12/13 12:00,66,73,9.2
9/12/13 13:00,68,68,11.5
9/12/13 13:00,68,68,11.5
9/12/13 14:00,70,61,13.8
9/12/13 15:00,69.1,63,19.6
9/12/13 16:00,66.9,68,23
9/12/13 17:00,66,70,23
9/12/13 17:00,64.4,73,21.9
9/12/13 18:00,63,78,19.6
9/12/13 18:00,62.6,77,18.4
9/12/13 19:00,62.1,80,19.6
9/12/13 20:00,61,83,17.3
9/12/13 21:00,61,83,16.1
9/12/13 22:00,60.1,83,12.7
9/12/13 23:00,60.1,86,8.1
9/13/13 0:00,60.1,83,9.2
9/13/13 1:00,60.1,83,8.1
9/13/13 2:00,59,83,8.1
9/13/13 3:00,59,87,11.5
9/13/13 4:00,57.9,90,13.8
9/13/13 5:00,59,87,12.7
9/13/13 6:00,57.9,90,6.9
9/13/13 7:00,57.9,87,9.2
9/13/13 8:00,57.2,88,13.8
9/13/13 8:00,57,89,12.7
9/13/13 9:00,59,83,12.7
9/13/13 10:00,60.1,80,16.1
9/13/13 11:00,60.1,80,15
9/13/13 12:00,62.6,72,16.1
9/13/13 12:00,63,72,18.4
9/13/13 13:00,64.9,68,20.7
9/13/13 14:00,64,70,23
9/13/13 15:00,64.9,68,21.9
9/13/13 16:00,63,72,24.2
9/13/13 17:00,62.1,75,26.5
9/13/13 18:00,61,78,18.4
9/13/13 19:00,60.1,80,12.7
9/13/13 20:00,59,83,11.5
9/13/13 21:00,59,83,13.8
9/13/13 22:00,59,83,15
9/13/13 22:00,57.2,88,13.8
9/13/13 23:00,57.9,87,13.8
9/14/13 0:00,57.9,87,11.5
9/14/13 1:00,57,89,16.1
9/14/13 2:00,57.9,87,13.8
9/14/13 3:00,57,89,18.4
9/14/13 4:00,57,89,16.1
9/14/13 5:00,57,89,13.8
9/14/13 6:00,57,89,10.4
9/14/13 7:00,57,89,11.5
9/14/13 8:00,57.9,87,12.7
9/14/13 9:00,57.9,87,13.8
9/14/13 10:00,59,87,11.5
9/14/13 11:00,59,87,15
9/14/13 12:00,60.1,83,13.8
9/14/13 13:00,62.1,78,18.4
9/14/13 14:00,63,75,17.3
9/14/13 15:00,64,73,24.2
9/14/13 16:00,64,70,23
9/14/13 16:00,64.4,68,21.9
9/14/13 16:00,64.4,68,19.6
9/14/13 17:00,64,70,19.6
9/14/13 18:00,63,72,16.1
9/14/13 19:00,61,78,16.1
9/14/13 20:00,60.1,78,17.3
9/14/13 21:00,60.8,77,15
9/14/13 21:00,60.1,78,15
9/14/13 22:00,60.1,78,15
9/14/13 23:00,60.1,78,12.7
9/15/13 0:00,59,81,12.7
9/15/13 1:00,59,81,21.9
9/15/13 2:00,59,78,16.1
9/15/13 3:00,59,78,13.8
9/15/13 4:00,59,78,13.8
